Model,MDO3024
Firmware Version,1.10

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4,,
Horizontal Delay,0,,
Sample Interval,0.0004,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.5,0.5
Vertical Position,0.96,-1,-1.96
,,,
,,,
,,,
Label,,,
TIME,CH1,CH3,CH4
3.290400e+00,2.04,-0.08,0.12
3.290800e+00,2,-0.08,0.12
3.291200e+00,2,-0.06,0.12
3.291600e+00,1.96,-0.08,0.12
3.292000e+00,2,-0.1,0.14
3.292400e+00,2,-0.06,0.14
3.292800e+00,1.96,-0.08,0.12
3.293200e+00,2.04,-0.08,0.1
3.293600e+00,2,-0.08,0.14
3.294000e+00,1.96,-0.06,0.12
3.294400e+00,2,-0.08,0.12
3.294800e+00,2,-0.08,0.12
3.295200e+00,2,-0.06,0.12
3.295600e+00,2.04,-0.08,0.12
3.296000e+00,2.04,-0.08,0.14
3.296400e+00,2,-0.08,0.12
3.296800e+00,2,-0.08,0.12
3.297200e+00,2,-0.08,0.12
3.297600e+00,1.92,-0.08,0.1
3.298000e+00,2,-0.08,0.14
3.298400e+00,2,-0.06,0.12
3.298800e+00,2,-0.06,0.12
3.299200e+00,2,-0.08,0.12
3.299600e+00,2,-0.08,0.1
3.300000e+00,2,-0.1,0.12
3.300400e+00,1.96,-0.04,0.12
3.300800e+00,2,-0.08,0.1
3.301200e+00,1.96,-0.06,0.1
3.301600e+00,2,-0.08,0.12
3.302000e+00,1.96,-0.08,0.14
3.302400e+00,2.04,-0.06,0.14
3.302800e+00,2,-0.08,0.12
3.303200e+00,2,-0.08,0.1
3.303600e+00,2,-0.08,0.14
3.304000e+00,1.96,-0.08,0.12
3.304400e+00,2,-0.08,0.14
3.304800e+00,2,-0.08,0.1
3.305200e+00,2,-0.1,0.12
3.305600e+00,2,-0.06,0.12
3.306000e+00,2,-0.06,0.14
3.306400e+00,1.96,-0.08,0.12
3.306800e+00,2,-0.08,0.12
3.307200e+00,2,-0.08,0.14
3.307600e+00,2,-0.08,0.14
3.308000e+00,2,-0.06,0.12
3.308400e+00,2.04,-0.1,0.14
3.308800e+00,2.04,-0.08,0.14
3.309200e+00,1.96,-0.08,0.12
3.309600e+00,1.96,-0.08,0.14
3.310000e+00,2,-0.06,0.12
3.310400e+00,2.04,-0.08,0.1
3.310800e+00,2,-0.1,0.12
3.311200e+00,2,-0.08,0.1
3.311600e+00,2,-0.08,0.12
3.312000e+00,2,-0.08,0.14
3.312400e+00,2,-0.08,0.12
3.312800e+00,2.04,-0.1,0.1
3.313200e+00,1.96,-0.08,0.12
3.313600e+00,2,-0.08,0.14
3.314000e+00,2,-0.08,0.12
3.314400e+00,1.96,-0.08,0.12
3.314800e+00,2,-0.08,0.14
3.315200e+00,2,-0.1,0.14
3.315600e+00,2.04,-0.08,0.12
3.316000e+00,2,-0.08,0.14
3.316400e+00,2,-0.06,0.14
3.316800e+00,1.96,-0.08,0.14
3.317200e+00,2.04,-0.08,0.12
3.317600e+00,2,-0.08,0.12
3.318000e+00,2,-0.08,0.12
3.318400e+00,1.96,-0.08,0.14
3.318800e+00,2,-0.1,0.12
3.319200e+00,1.96,-0.08,0.12
3.319600e+00,2,-0.08,0.14
3.320000e+00,2,-0.1,0.14
3.320400e+00,2,-0.06,0.12
3.320800e+00,1.96,-0.1,0.14
3.321200e+00,2,-0.1,0.12
3.321600e+00,1.96,-0.06,0.12
3.322000e+00,2,-0.08,0.16
3.322400e+00,2,-0.08,0.12
3.322800e+00,1.96,-0.08,0.12
3.323200e+00,1.96,-0.08,0.14
3.323600e+00,1.96,-0.06,0.14
3.324000e+00,1.96,-0.1,0.12
3.324400e+00,1.96,-0.08,0.16
3.324800e+00,2.04,-0.06,0.14
3.325200e+00,2,-0.1,0.12
3.325600e+00,1.96,-0.08,0.12
3.326000e+00,2.04,-0.1,0.14
3.326400e+00,2,-0.08,0.12
3.326800e+00,2,-0.1,0.12
3.327200e+00,2,-0.06,0.14
3.327600e+00,2,-0.1,0.14
3.328000e+00,1.96,-0.06,0.14
3.328400e+00,2.04,-0.1,0.12
3.328800e+00,1.96,-0.1,0.14
3.329200e+00,2,-0.08,0.12
3.329600e+00,2,-0.06,0.14
3.330000e+00,2,-0.08,0.12
3.330400e+00,2,-0.08,0.12
3.330800e+00,2,-0.08,0.12
3.331200e+00,1.96,-0.08,0.1
3.331600e+00,2,-0.08,0.12
3.332000e+00,1.96,-0.08,0.12
3.332400e+00,1.96,-0.08,0.14
3.332800e+00,2,-0.08,0.12
3.333200e+00,2.04,-0.1,0.1
3.333600e+00,2.04,-0.1,0.14
3.334000e+00,2,-0.06,0.14
3.334400e+00,2,-0.1,0.14
3.334800e+00,1.96,-0.08,0.12
3.335200e+00,1.96,-0.1,0.14
3.335600e+00,2,-0.08,0.14
3.336000e+00,1.96,-0.08,0.14
3.336400e+00,1.96,-0.08,0.14
3.336800e+00,1.96,-0.08,0.14
3.337200e+00,2,-0.08,0.14
3.337600e+00,2,-0.08,0.12
3.338000e+00,1.96,-0.1,0.12
3.338400e+00,2,-0.08,0.12
3.338800e+00,2,-0.08,0.12
3.339200e+00,2,-0.08,0.14
3.339600e+00,2,-0.1,0.14
3.340000e+00,2,-0.1,0.12
3.340400e+00,1.96,-0.1,0.14
3.340800e+00,2,-0.06,0.12
3.341200e+00,2,-0.1,0.12
3.341600e+00,2,-0.06,0.12
3.342000e+00,1.96,-0.1,0.14
3.342400e+00,2.04,-0.08,0.14
3.342800e+00,1.96,-0.06,0.16
3.343200e+00,2.04,-0.08,0.12
3.343600e+00,2.04,-0.1,0.12
3.344000e+00,1.96,-0.08,0.12
3.344400e+00,2,-0.08,0.12
3.344800e+00,2,-0.1,0.12
3.345200e+00,2,-0.1,0.12
3.345600e+00,2,-0.1,0.12
3.346000e+00,1.96,-0.1,0.12
3.346400e+00,2,-0.06,0.12
3.346800e+00,2,-0.08,0.12
3.347200e+00,2,-0.08,0.14
3.347600e+00,2,-0.08,0.14
3.348000e+00,2,-0.08,0.12
3.348400e+00,2,-0.08,0.12
3.348800e+00,2,-0.1,0.12
3.349200e+00,1.96,-0.08,0.12
3.349600e+00,2,-0.08,0.14
3.350000e+00,2,-0.08,0.16
3.350400e+00,2,-0.08,0.12
3.350800e+00,2,-0.08,0.12
3.351200e+00,1.96,-0.1,0.14
3.351600e+00,2.04,-0.1,0.12
3.352000e+00,2,-0.08,0.14
3.352400e+00,2,-0.08,0.1
3.352800e+00,2.04,-0.08,0.14
3.353200e+00,2,-0.08,0.14
3.353600e+00,2,-0.08,0.12
3.354000e+00,2.04,-0.06,0.14
3.354400e+00,2,-0.08,0.14
3.354800e+00,1.96,-0.08,0.14
3.355200e+00,1.96,-0.08,0.14
3.355600e+00,2.04,-0.1,0.12
3.356000e+00,2,-0.08,0.14
3.356400e+00,2,-0.06,0.12
3.356800e+00,2.04,-0.08,0.12
3.357200e+00,2,-0.08,0.16
3.357600e+00,1.96,-0.08,0.14
3.358000e+00,2.04,-0.08,0.14
3.358400e+00,2,-0.06,0.14
3.358800e+00,2,-0.08,0.14
3.359200e+00,2,-0.06,0.14
3.359600e+00,2,-0.08,0.12
3.360000e+00,1.96,-0.08,0.14
3.360400e+00,2,-0.08,0.14
3.360800e+00,1.96,-0.1,0.12
3.361200e+00,1.96,-0.08,0.14
3.361600e+00,2,-0.1,0.14
3.362000e+00,2,-0.1,0.14
3.362400e+00,1.96,-0.08,0.14
3.362800e+00,2.04,-0.08,0.14
3.363200e+00,1.96,-0.08,0.14
3.363600e+00,2,-0.1,0.14
3.364000e+00,1.96,-0.08,0.12
3.364400e+00,1.96,-0.08,0.16
3.364800e+00,1.92,-0.08,0.12
3.365200e+00,2,-0.1,0.12
3.365600e+00,1.96,-0.08,0.14
3.366000e+00,2,-0.08,0.12
3.366400e+00,1.96,-0.1,0.16
3.366800e+00,2,-0.08,0.14
3.367200e+00,2,-0.08,0.14
3.367600e+00,1.96,-0.08,0.12
3.368000e+00,2,-0.08,0.14
3.368400e+00,2,-0.08,0.14
3.368800e+00,1.96,-0.08,0.1
3.369200e+00,2,-0.08,0.12
3.369600e+00,2.04,-0.1,0.14
3.370000e+00,2,-0.1,0.14
3.370400e+00,2,-0.08,0.14
3.370800e+00,1.96,-0.08,0.12
3.371200e+00,2.04,-0.1,0.12
3.371600e+00,2.08,-0.1,0.14
3.372000e+00,1.96,-0.08,0.1
3.372400e+00,2.04,-0.08,0.12
3.372800e+00,2,-0.08,0.16
3.373200e+00,2.04,-0.08,0.14
3.373600e+00,2,-0.08,0.14
3.374000e+00,2.04,-0.1,0.12
3.374400e+00,1.96,-0.06,0.16
3.374800e+00,2,-0.08,0.14
3.375200e+00,2,-0.1,0.12
3.375600e+00,2,-0.08,0.14
3.376000e+00,2.04,-0.08,0.12
3.376400e+00,2,-0.08,0.16
3.376800e+00,1.96,-0.08,0.12
3.377200e+00,2,-0.08,0.12
3.377600e+00,1.96,-0.08,0.12
3.378000e+00,2,-0.08,0.14
3.378400e+00,1.96,-0.1,0.14
3.378800e+00,1.96,-0.08,0.14
3.379200e+00,1.96,-0.08,0.12
3.379600e+00,2,-0.1,0.14
3.380000e+00,1.96,-0.08,0.14
3.380400e+00,1.96,-0.06,0.12
3.380800e+00,2.04,-0.08,0.12
3.381200e+00,1.96,-0.08,0.1
3.381600e+00,2.04,-0.08,0.12
3.382000e+00,2,-0.08,0.14
3.382400e+00,1.96,-0.08,0.12
3.382800e+00,1.96,-0.06,0.12
3.383200e+00,2,-0.08,0.12
3.383600e+00,2,-0.1,0.14
3.384000e+00,2.04,-0.1,0.14
3.384400e+00,2,-0.08,0.14
3.384800e+00,2,-0.08,0.12
3.385200e+00,2,-0.1,0.14
3.385600e+00,2.04,-0.08,0.12
3.386000e+00,2,-0.08,0.14
3.386400e+00,2,-0.1,0.14
3.386800e+00,2,-0.1,0.12
3.387200e+00,2,-0.08,0.12
3.387600e+00,2,-0.08,0.14
3.388000e+00,2.04,-0.08,0.16
3.388400e+00,2.04,-0.1,0.14
3.388800e+00,1.96,-0.08,0.14
3.389200e+00,2,-0.08,0.16
3.389600e+00,2,-0.08,0.14
3.390000e+00,2,-0.08,0.14
3.390400e+00,1.96,-0.1,0.14
3.390800e+00,2.04,-0.08,0.14
3.391200e+00,2,-0.1,0.12
3.391600e+00,1.96,-0.08,0.14
3.392000e+00,2.04,-0.08,0.14
3.392400e+00,2,-0.08,0.14
3.392800e+00,2.04,-0.1,0.14
3.393200e+00,2,-0.1,0.12
3.393600e+00,2.04,-0.08,0.12
3.394000e+00,2,-0.08,0.14
3.394400e+00,1.96,-0.1,0.12
3.394800e+00,2,-0.06,0.14
3.395200e+00,2,-0.1,0.14
3.395600e+00,1.96,-0.1,0.12
3.396000e+00,2,-0.08,0.12
3.396400e+00,2,-0.08,0.14
3.396800e+00,1.96,-0.08,0.14
3.397200e+00,2,-0.08,0.12
3.397600e+00,2.04,-0.1,0.12
3.398000e+00,1.96,-0.08,0.14
3.398400e+00,2.04,-0.08,0.12
3.398800e+00,2.04,-0.1,0.14
3.399200e+00,2,-0.1,0.14
3.399600e+00,2,-0.1,0.14
3.400000e+00,2.04,-0.08,0.16
3.400400e+00,2,-0.08,0.14
3.400800e+00,2,-0.08,0.12
3.401200e+00,2,-0.08,0.14
3.401600e+00,2,-0.08,0.16
3.402000e+00,1.96,-0.08,0.16
3.402400e+00,2,-0.08,0.14
3.402800e+00,2,-0.08,0.14
3.403200e+00,2,-0.08,0.14
3.403600e+00,2,-0.1,0.14
3.404000e+00,1.96,-0.1,0.16
3.404400e+00,2.04,-0.08,0.12
3.404800e+00,2,-0.1,0.14
3.405200e+00,1.96,-0.08,0.16
3.405600e+00,2,-0.08,0.14
3.406000e+00,2,-0.1,0.14
3.406400e+00,1.96,-0.08,0.14
3.406800e+00,2,-0.08,0.16
3.407200e+00,2,-0.08,0.14
3.407600e+00,2,-0.1,0.16
3.408000e+00,2,-0.1,0.12
3.408400e+00,2,-0.1,0.14
3.408800e+00,2,-0.08,0.12
3.409200e+00,1.96,-0.1,0.12
3.409600e+00,1.96,-0.08,0.16
3.410000e+00,2,-0.1,0.12
3.410400e+00,2.04,-0.08,0.14
3.410800e+00,1.96,-0.08,0.16
3.411200e+00,2.04,-0.1,0.14
3.411600e+00,2,-0.1,0.14
3.412000e+00,1.96,-0.1,0.14
3.412400e+00,2,-0.08,0.16
3.412800e+00,2.04,-0.1,0.14
3.413200e+00,2,-0.06,0.16
3.413600e+00,2,-0.08,0.14
3.414000e+00,2,-0.08,0.14
3.414400e+00,2,-0.08,0.14
3.414800e+00,1.96,-0.08,0.14
3.415200e+00,1.96,-0.08,0.14
3.415600e+00,1.96,-0.08,0.12
3.416000e+00,2,-0.08,0.14
3.416400e+00,2.04,-0.1,0.14
3.416800e+00,2.04,-0.1,0.12
3.417200e+00,2.04,-0.1,0.14
3.417600e+00,2,-0.08,0.14
3.418000e+00,2,-0.08,0.14
3.418400e+00,2.04,-0.1,0.12
3.418800e+00,2,-0.08,0.16
3.419200e+00,1.96,-0.1,0.16
3.419600e+00,2,-0.1,0.14
3.420000e+00,2,-0.1,0.14
3.420400e+00,1.96,-0.08,0.14
3.420800e+00,1.96,-0.06,0.14
3.421200e+00,2.04,-0.08,0.12
3.421600e+00,2.04,-0.08,0.14
3.422000e+00,1.96,-0.1,0.16
3.422400e+00,1.96,-0.1,0.12
3.422800e+00,2,-0.1,0.16
3.423200e+00,2,-0.1,0.12
3.423600e+00,2,-0.08,0.12
3.424000e+00,1.96,-0.08,0.14
3.424400e+00,2,-0.1,0.14
3.424800e+00,2,-0.08,0.14
3.425200e+00,2,-0.08,0.12
3.425600e+00,2.04,-0.08,0.14
3.426000e+00,2.04,-0.08,0.12
3.426400e+00,1.96,-0.1,0.14
3.426800e+00,2,-0.1,0.14
3.427200e+00,2,-0.08,0.14
3.427600e+00,2,-0.08,0.14
3.428000e+00,1.96,-0.1,0.14
3.428400e+00,2,-0.1,0.16
3.428800e+00,2,-0.08,0.12
3.429200e+00,1.96,-0.08,0.14
3.429600e+00,2,-0.08,0.14
3.430000e+00,2,-0.08,0.12
3.430400e+00,1.96,-0.1,0.14
3.430800e+00,2,-0.08,0.16
3.431200e+00,2,-0.08,0.14
3.431600e+00,2,-0.1,0.14
3.432000e+00,2.04,-0.1,0.14
3.432400e+00,2,-0.08,0.16
3.432800e+00,1.96,-0.1,0.14
3.433200e+00,2.04,-0.08,0.14
3.433600e+00,2.04,-0.1,0.12
3.434000e+00,2,-0.1,0.14
3.434400e+00,2.04,-0.1,0.14
3.434800e+00,1.96,-0.12,0.14
3.435200e+00,2,-0.08,0.14
3.435600e+00,1.96,-0.1,0.16
3.436000e+00,2.04,-0.1,0.16
3.436400e+00,2,-0.08,0.14
3.436800e+00,2,-0.08,0.18
3.437200e+00,2,-0.1,0.12
3.437600e+00,2,-0.1,0.14
3.438000e+00,2,-0.1,0.14
3.438400e+00,1.96,-0.08,0.14
3.438800e+00,2.04,-0.08,0.18
3.439200e+00,1.96,-0.1,0.14
3.439600e+00,1.96,-0.1,0.14
3.440000e+00,1.96,-0.1,0.14
3.440400e+00,2,-0.1,0.14
3.440800e+00,1.96,-0.08,0.16
3.441200e+00,1.96,-0.08,0.14
3.441600e+00,2,-0.1,0.14
3.442000e+00,1.96,-0.08,0.12
3.442400e+00,1.96,-0.08,0.16
3.442800e+00,2,-0.08,0.16
3.443200e+00,2,-0.1,0.14
3.443600e+00,2,-0.1,0.14
3.444000e+00,1.96,-0.1,0.14
3.444400e+00,1.96,-0.12,0.14
3.444800e+00,2,-0.1,0.14
3.445200e+00,1.96,-0.1,0.16
3.445600e+00,2,-0.1,0.14
3.446000e+00,1.96,-0.08,0.18
3.446400e+00,1.96,-0.08,0.14
3.446800e+00,2,-0.1,0.16
3.447200e+00,1.96,-0.1,0.12
3.447600e+00,2,-0.08,0.14
3.448000e+00,1.96,-0.08,0.14
3.448400e+00,2,-0.1,0.16
3.448800e+00,2,-0.1,0.16
3.449200e+00,2,-0.1,0.16
3.449600e+00,2,-0.08,0.14
3.450000e+00,1.96,-0.1,0.14
3.450400e+00,2,-0.08,0.16
3.450800e+00,2.04,-0.06,0.12
3.451200e+00,2.04,-0.1,0.14
3.451600e+00,2,-0.08,0.14
3.452000e+00,1.96,-0.1,0.12
3.452400e+00,2,-0.1,0.16
3.452800e+00,2,-0.1,0.16
3.453200e+00,1.96,-0.08,0.14
3.453600e+00,2,-0.08,0.14
3.454000e+00,2,-0.08,0.14
3.454400e+00,2,-0.1,0.14
3.454800e+00,2.04,-0.06,0.14
3.455200e+00,2,-0.08,0.14
3.455600e+00,2,-0.08,0.14
3.456000e+00,2,-0.1,0.16
3.456400e+00,2,-0.08,0.16
3.456800e+00,2,-0.08,0.14
3.457200e+00,2,-0.1,0.16
3.457600e+00,2,-0.08,0.14
3.458000e+00,2,-0.1,0.14
3.458400e+00,2,-0.1,0.16
3.458800e+00,2,-0.08,0.14
3.459200e+00,1.96,-0.08,0.14
3.459600e+00,2.04,-0.1,0.14
3.460000e+00,2,-0.1,0.14
3.460400e+00,2,-0.08,0.16
3.460800e+00,2,-0.08,0.14
3.461200e+00,1.96,-0.1,0.12
3.461600e+00,2,-0.1,0.14
3.462000e+00,1.96,-0.08,0.14
3.462400e+00,2,-0.1,0.14
3.462800e+00,2,-0.12,0.14
3.463200e+00,2,-0.08,0.14
3.463600e+00,2,-0.08,0.14
3.464000e+00,2,-0.1,0.12
3.464400e+00,2,-0.1,0.14
3.464800e+00,2.04,-0.1,0.14
3.465200e+00,2,-0.08,0.14
3.465600e+00,2,-0.1,0.14
3.466000e+00,2,-0.08,0.14
3.466400e+00,2,-0.08,0.16
3.466800e+00,1.96,-0.1,0.14
3.467200e+00,2,-0.08,0.16
3.467600e+00,2.04,-0.1,0.16
3.468000e+00,2,-0.1,0.16
3.468400e+00,2,-0.08,0.16
3.468800e+00,1.96,-0.1,0.14
3.469200e+00,2,-0.1,0.14
3.469600e+00,2,-0.1,0.14
3.470000e+00,2,-0.1,0.16
3.470400e+00,2,-0.08,0.16
3.470800e+00,1.96,-0.08,0.14
3.471200e+00,2.04,-0.1,0.14
3.471600e+00,1.96,-0.1,0.14
3.472000e+00,2,-0.08,0.14
3.472400e+00,2,-0.08,0.14
3.472800e+00,1.96,-0.1,0.14
3.473200e+00,1.96,-0.08,0.14
3.473600e+00,2,-0.06,0.12
3.474000e+00,1.96,-0.1,0.14
3.474400e+00,1.96,-0.1,0.14
3.474800e+00,2,-0.1,0.16
3.475200e+00,1.96,-0.1,0.14
3.475600e+00,2,-0.1,0.16
3.476000e+00,2.04,-0.12,0.16
3.476400e+00,2.04,-0.1,0.16
3.476800e+00,1.96,-0.08,0.14
3.477200e+00,1.96,-0.08,0.14
3.477600e+00,2,-0.08,0.16
3.478000e+00,2,-0.08,0.16
3.478400e+00,2,-0.1,0.14
3.478800e+00,2,-0.1,0.16
3.479200e+00,2,-0.1,0.16
3.479600e+00,2,-0.08,0.14
3.480000e+00,1.96,-0.1,0.14
3.480400e+00,2.04,-0.1,0.14
3.480800e+00,1.96,-0.08,0.16
3.481200e+00,2,-0.1,0.14
3.481600e+00,2,-0.1,0.14
3.482000e+00,2,-0.1,0.16
3.482400e+00,1.96,-0.06,0.12
3.482800e+00,2,-0.1,0.14
3.483200e+00,2.04,-0.08,0.12
3.483600e+00,2,-0.1,0.14
3.484000e+00,2,-0.1,0.14
3.484400e+00,2,-0.08,0.16
3.484800e+00,2,-0.08,0.14
3.485200e+00,1.96,-0.08,0.14
3.485600e+00,2,-0.08,0.14
3.486000e+00,2.04,-0.08,0.16
3.486400e+00,1.96,-0.1,0.12
3.486800e+00,2,-0.1,0.16
3.487200e+00,2,-0.08,0.16
3.487600e+00,2,-0.1,0.14
3.488000e+00,1.96,-0.08,0.16
3.488400e+00,2.04,-0.08,0.16
3.488800e+00,2,-0.1,0.14
3.489200e+00,1.96,-0.08,0.14
3.489600e+00,2,-0.1,0.14
3.490000e+00,2,-0.08,0.16
3.490400e+00,1.92,-0.08,0.14
3.490800e+00,1.96,-0.08,0.14
3.491200e+00,2,-0.1,0.16
3.491600e+00,2,-0.1,0.14
3.492000e+00,2,-0.1,0.14
3.492400e+00,2.04,-0.1,0.14
3.492800e+00,2,-0.1,0.16
3.493200e+00,1.96,-0.08,0.14
3.493600e+00,1.96,-0.1,0.16
3.494000e+00,2,-0.08,0.14
3.494400e+00,1.96,-0.08,0.16
3.494800e+00,2,-0.1,0.16
3.495200e+00,2,-0.1,0.18
3.495600e+00,1.96,-0.08,0.12
3.496000e+00,1.96,-0.08,0.16
3.496400e+00,2,-0.1,0.16
3.496800e+00,2,-0.08,0.16
3.497200e+00,2,-0.1,0.14
3.497600e+00,1.96,-0.08,0.16
3.498000e+00,1.96,-0.08,0.16
3.498400e+00,2,-0.08,0.16
3.498800e+00,1.96,-0.1,0.16
3.499200e+00,1.96,-0.1,0.16
3.499600e+00,2.04,-0.08,0.14
3.500000e+00,1.96,-0.1,0.16
3.500400e+00,1.96,-0.08,0.14
3.500800e+00,2,-0.08,0.14
3.501200e+00,2.04,-0.08,0.16
3.501600e+00,2,-0.1,0.16
3.502000e+00,2,-0.08,0.16
3.502400e+00,1.96,-0.06,0.14
3.502800e+00,2,-0.1,0.12
3.503200e+00,2,-0.08,0.14
3.503600e+00,2,-0.1,0.16
3.504000e+00,2,-0.08,0.14
3.504400e+00,2,-0.1,0.16
3.504800e+00,2,-0.1,0.14
3.505200e+00,1.96,-0.08,0.14
3.505600e+00,2,-0.08,0.14
3.506000e+00,2,-0.1,0.14
3.506400e+00,2.04,-0.1,0.16
3.506800e+00,1.96,-0.08,0.14
3.507200e+00,1.96,-0.08,0.14
3.507600e+00,2,-0.08,0.14
3.508000e+00,2,-0.08,0.14
3.508400e+00,1.96,-0.1,0.14
3.508800e+00,1.96,-0.1,0.16
3.509200e+00,2,-0.08,0.16
3.509600e+00,2,-0.1,0.14
3.510000e+00,2,-0.1,0.14
3.510400e+00,2,-0.1,0.16
3.510800e+00,2,-0.1,0.14
3.511200e+00,2,-0.1,0.14
3.511600e+00,1.96,-0.08,0.14
3.512000e+00,2,-0.08,0.16
3.512400e+00,2.04,-0.1,0.14
3.512800e+00,2,-0.1,0.14
3.513200e+00,2,-0.1,0.14
3.513600e+00,2.04,-0.1,0.14
3.514000e+00,2,-0.12,0.16
3.514400e+00,2,-0.1,0.14
3.514800e+00,2,-0.08,0.14
3.515200e+00,2.04,-0.1,0.14
3.515600e+00,2,-0.08,0.16
3.516000e+00,1.96,-0.1,0.16
3.516400e+00,2,-0.1,0.14
3.516800e+00,2,-0.1,0.14
3.517200e+00,2,-0.08,0.14
3.517600e+00,2,-0.08,0.14
3.518000e+00,2,-0.08,0.14
3.518400e+00,2.04,-0.08,0.14
3.518800e+00,2,-0.1,0.16
3.519200e+00,2.04,-0.08,0.14
3.519600e+00,2,-0.1,0.14
3.520000e+00,2,-0.1,0.16
3.520400e+00,2,-0.08,0.14
3.520800e+00,2.04,-0.08,0.16
3.521200e+00,1.96,-0.1,0.14
3.521600e+00,1.96,-0.1,0.16
3.522000e+00,2.04,-0.1,0.14
3.522400e+00,2,-0.1,0.14
3.522800e+00,1.96,-0.12,0.14
3.523200e+00,1.96,-0.08,0.12
3.523600e+00,1.96,-0.1,0.14
3.524000e+00,2,-0.06,0.16
3.524400e+00,2,-0.08,0.14
3.524800e+00,2,-0.08,0.12
3.525200e+00,2,-0.1,0.16
3.525600e+00,2,-0.08,0.16
3.526000e+00,2,-0.1,0.16
3.526400e+00,2,-0.06,0.14
3.526800e+00,2,-0.1,0.16
3.527200e+00,2,-0.1,0.14
3.527600e+00,1.96,-0.08,0.12
3.528000e+00,2,-0.1,0.14
3.528400e+00,2,-0.08,0.16
3.528800e+00,1.96,-0.08,0.14
3.529200e+00,1.96,-0.1,0.18
3.529600e+00,2.04,-0.1,0.14
3.530000e+00,2,-0.08,0.14
3.530400e+00,2,-0.1,0.16
3.530800e+00,1.96,-0.08,0.16
3.531200e+00,2,-0.1,0.14
3.531600e+00,2,-0.08,0.14
3.532000e+00,1.96,-0.1,0.16
3.532400e+00,1.96,-0.08,0.14
3.532800e+00,2,-0.1,0.16
3.533200e+00,1.96,-0.08,0.16
3.533600e+00,2,-0.1,0.14
3.534000e+00,1.96,-0.1,0.14
3.534400e+00,2,-0.08,0.16
3.534800e+00,1.96,-0.08,0.16
3.535200e+00,2,-0.1,0.14
3.535600e+00,2,-0.1,0.16
3.536000e+00,1.96,-0.1,0.14
3.536400e+00,1.96,-0.08,0.14
3.536800e+00,2,-0.1,0.16
3.537200e+00,1.96,-0.1,0.16
3.537600e+00,1.96,-0.1,0.14
3.538000e+00,1.96,-0.12,0.14
3.538400e+00,1.96,-0.08,0.16
3.538800e+00,2,-0.1,0.14
3.539200e+00,2.04,-0.1,0.14
3.539600e+00,1.96,-0.1,0.14
3.540000e+00,2,-0.1,0.16
3.540400e+00,1.96,-0.1,0.12
3.540800e+00,2,-0.1,0.14
3.541200e+00,2,-0.1,0.14
3.541600e+00,2,-0.08,0.14
3.542000e+00,1.96,-0.08,0.16
3.542400e+00,2,-0.08,0.16
3.542800e+00,2.04,-0.08,0.16
3.543200e+00,2,-0.1,0.14
3.543600e+00,1.96,-0.1,0.16
3.544000e+00,1.96,-0.1,0.14
3.544400e+00,1.96,-0.08,0.14
3.544800e+00,1.96,-0.08,0.16
3.545200e+00,2,-0.12,0.14
3.545600e+00,2,-0.1,0.16
3.546000e+00,2,-0.1,0.16
3.546400e+00,2.04,-0.1,0.16
3.546800e+00,2,-0.1,0.14
3.547200e+00,2,-0.08,0.16
3.547600e+00,1.96,-0.1,0.14
3.548000e+00,2,-0.1,0.16
3.548400e+00,1.96,-0.08,0.14
3.548800e+00,2,-0.1,0.14
3.549200e+00,2,-0.08,0.16
3.549600e+00,1.96,-0.1,0.12
3.550000e+00,2.04,-0.1,0.16
3.550400e+00,2,-0.1,0.14
3.550800e+00,2,-0.08,0.18
3.551200e+00,2,-0.08,0.14
3.551600e+00,2,-0.1,0.14
3.552000e+00,2,-0.1,0.14
3.552400e+00,2.04,-0.1,0.14
3.552800e+00,2.04,-0.08,0.16
3.553200e+00,2,-0.08,0.16
3.553600e+00,2,-0.1,0.16
3.554000e+00,2,-0.08,0.14
3.554400e+00,2,-0.1,0.16
3.554800e+00,2,-0.08,0.16
3.555200e+00,2,-0.12,0.14
3.555600e+00,2.04,-0.1,0.16
3.556000e+00,1.96,-0.06,0.14
3.556400e+00,2,-0.1,0.16
3.556800e+00,2,-0.08,0.16
3.557200e+00,2,-0.08,0.16
3.557600e+00,2,-0.08,0.16
3.558000e+00,2,-0.1,0.14
3.558400e+00,2,-0.1,0.14
3.558800e+00,2,-0.1,0.14
3.559200e+00,2,-0.1,0.14
3.559600e+00,2.04,-0.1,0.14
3.560000e+00,2,-0.08,0.14
3.560400e+00,2,-0.08,0.12
3.560800e+00,1.96,-0.1,0.16
3.561200e+00,2,-0.1,0.14
3.561600e+00,2,-0.08,0.14
3.562000e+00,1.92,-0.1,0.14
3.562400e+00,1.96,-0.1,0.14
3.562800e+00,1.96,-0.1,0.14
3.563200e+00,1.96,-0.1,0.16
3.563600e+00,2,-0.1,0.16
3.564000e+00,2,-0.08,0.16
3.564400e+00,2,-0.1,0.16
3.564800e+00,1.96,-0.1,0.14
3.565200e+00,2.04,-0.08,0.16
3.565600e+00,2.04,-0.1,0.16
3.566000e+00,2,-0.08,0.16
3.566400e+00,2,-0.1,0.16
3.566800e+00,2.04,-0.1,0.14
