Model,MDO3024
Firmware Version,1.10

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4,,
Horizontal Delay,0,,
Sample Interval,0.0004,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.5,0.5
Vertical Position,0.96,-1,-1.96
,,,
,,,
,,,
Label,,,
TIME,CH1,CH3,CH4
-1.990760e+01,1.96,-0.02,-0.02
-1.990720e+01,1.96,-0.02,-0.02
-1.990680e+01,2,-0.04,-0.02
-1.990640e+01,2,0,0
-1.990600e+01,2,-0.02,-0.02
-1.990560e+01,2,0,-0.02
-1.990520e+01,2,-0.02,0
-1.990480e+01,2,0,0
-1.990440e+01,1.96,-0.02,0
-1.990400e+01,1.96,0,-0.02
-1.990360e+01,2,-0.02,-0.02
-1.990320e+01,1.96,-0.02,-0.04
-1.990280e+01,1.92,-0.04,-0.04
-1.990240e+01,2,-0.02,-0.02
-1.990200e+01,2,0,-0.02
-1.990160e+01,1.96,-0.02,-0.02
-1.990120e+01,2,-0.04,-0.02
-1.990080e+01,1.96,-0.02,0
-1.990040e+01,2,-0.02,-0.02
-1.990000e+01,2.04,-0.04,-0.02
-1.989960e+01,2,-0.02,0
-1.989920e+01,2.08,-0.02,-0.02
-1.989880e+01,2.04,-0.04,-0.02
-1.989840e+01,2,-0.04,-0.02
-1.989800e+01,1.96,-0.02,-0.04
-1.989760e+01,1.96,-0.02,-0.02
-1.989720e+01,2,-0.02,-0.02
-1.989680e+01,1.96,-0.02,-0.04
-1.989640e+01,1.96,-0.02,-0.04
-1.989600e+01,1.96,-0.04,0
-1.989560e+01,2,-0.02,-0.04
-1.989520e+01,1.96,-0.04,-0.02
-1.989480e+01,2.04,-0.02,0
-1.989440e+01,1.92,-0.04,0
-1.989400e+01,2,-0.02,-0.02
-1.989360e+01,2,-0.02,-0.04
-1.989320e+01,1.96,-0.02,-0.02
-1.989280e+01,2,0,-0.02
-1.989240e+01,2.04,-0.02,0
-1.989200e+01,1.96,-0.02,0
-1.989160e+01,1.96,-0.02,0
-1.989120e+01,2,-0.04,0
-1.989080e+01,2,-0.02,0
-1.989040e+01,2,-0.02,0
-1.989000e+01,2,0,-0.02
-1.988960e+01,2,-0.02,0
-1.988920e+01,2.04,-0.04,0
-1.988880e+01,2,-0.02,0.02
-1.988840e+01,2,-0.02,0
-1.988800e+01,2.04,-0.02,0
-1.988760e+01,1.96,-0.02,0
-1.988720e+01,2,-0.02,0
-1.988680e+01,2,-0.04,0.02
-1.988640e+01,1.96,-0.02,0
-1.988600e+01,1.96,0,0
-1.988560e+01,2,-0.02,0.02
-1.988520e+01,2,-0.02,-0.02
-1.988480e+01,2,-0.04,0
-1.988440e+01,1.96,-0.02,0.02
-1.988400e+01,2,-0.02,0
-1.988360e+01,1.96,-0.02,0
-1.988320e+01,2,-0.02,0
-1.988280e+01,2,-0.02,0.02
-1.988240e+01,2.04,-0.06,0.02
-1.988200e+01,1.96,-0.04,0
-1.988160e+01,1.96,-0.02,0
-1.988120e+01,2,-0.02,0
-1.988080e+01,2.04,-0.02,0
-1.988040e+01,1.96,-0.04,0
-1.988000e+01,1.96,-0.04,0
-1.987960e+01,2,-0.04,0.02
-1.987920e+01,2,-0.02,0.02
-1.987880e+01,2,-0.04,0
-1.987840e+01,2,-0.04,0.02
